"","day","v1","v2","v3","v4","v5","v6"
"325",2010-11-21,65958,325487,522128,230664,788707,198937
"326",2010-11-22,65963,325510,522166,230681,788764,198951
"327",2010-11-23,65968,325534,522204,230698,788821,198966
"328",2010-11-24,65973,325557,522242,230714,788878,198980
"329",2010-11-25,65977,325581,522279,230731,788935,198995
"330",2010-11-26,65982,325604,522317,230748,788992,199009
"331",2010-11-27,65987,325628,522355,230764,789049,199023
"332",2010-11-28,65992,325651,522392,230781,789106,199038
"333",2010-11-29,65997,325675,522430,230798,789163,199052
"334",2010-11-30,66001,325698,522468,230814,789220,199066
"335",2010-12-01,66006,325722,522506,230831,789277,199081
"336",2010-12-02,66011,325745,522543,230848,789334,199095
"337",2010-12-03,66016,325769,522581,230864,789391,199110
"338",2010-12-04,66020,325792,522619,230881,789448,199124
"339",2010-12-05,66025,325816,522656,230898,789505,199138
"340",2010-12-06,66030,325839,522694,230914,789562,199153
"341",2010-12-07,66035,325863,522732,230931,789619,199167
"342",2010-12-08,66039,325886,522770,230948,789676,199181
"343",2010-12-09,66044,325910,522807,230964,789733,199196
"344",2010-12-10,66049,325933,522845,230981,789790,199210
"345",2010-12-11,66054,325957,522883,230998,789847,199225
"346",2010-12-12,66058,325980,522920,231014,789904,199239
"347",2010-12-13,66063,326004,522958,231031,789960,199253
"348",2010-12-14,66068,326027,522996,231048,790017,199268
"349",2010-12-15,66073,326051,523034,231064,790074,199282
"350",2010-12-16,66078,326074,523071,231081,790131,199296
"351",2010-12-17,66082,326098,523109,231098,790188,199311
"352",2010-12-18,66087,326121,523147,231114,790245,199325
"353",2010-12-19,66092,326145,523184,231131,790302,199340
"354",2010-12-20,66097,326168,523222,231148,790359,199354
"355",2010-12-21,66101,326192,523260,231164,790416,199368
"356",2010-12-22,66106,326215,523298,231181,790473,199383
"357",2010-12-23,66111,326239,523335,231198,790530,199397
"358",2010-12-24,66116,326262,523373,231214,790587,199411
"359",2010-12-25,66120,326286,523411,231231,790644,199426
"360",2010-12-26,66125,326309,523448,231248,790701,199440
"361",2010-12-27,66130,326333,523486,231264,790758,199455
"362",2010-12-28,66135,326356,523524,231281,790815,199469
"363",2010-12-29,66139,326380,523562,231298,790872,199483
"364",2010-12-30,66144,326403,523599,231314,790929,199498
"365",2010-12-31,66149,326427,523637,231331,790986,199512
"366",2011-01-01,66157,326467,523702,231360,791084,199537
"367",2011-01-02,66165,326508,523767,231388,791182,199561
"368",2011-01-03,66174,326548,523831,231417,791280,199586
"369",2011-01-04,66182,326589,523896,231445,791378,199611
"370",2011-01-05,66190,326629,523961,231474,791475,199635
"371",2011-01-06,66198,326669,524026,231503,791573,199660
"372",2011-01-07,66206,326710,524091,231531,791671,199685
"373",2011-01-08,66214,326750,524155,231560,791769,199710
"374",2011-01-09,66223,326791,524220,231589,791867,199734
"375",2011-01-10,66231,326831,524285,231617,791965,199759
"376",2011-01-11,66239,326871,524350,231646,792063,199784
"377",2011-01-12,66247,326912,524415,231674,792161,199808
"378",2011-01-13,66255,326952,524479,231703,792258,199833
"379",2011-01-14,66264,326992,524544,231732,792356,199858
"380",2011-01-15,66272,327033,524609,231760,792454,199882
"381",2011-01-16,66280,327073,524674,231789,792552,199907
"382",2011-01-17,66288,327114,524739,231818,792650,199932
"383",2011-01-18,66296,327154,524803,231846,792748,199956
"384",2011-01-19,66304,327194,524868,231875,792846,199981
"385",2011-01-20,66313,327235,524933,231903,792944,200006
"386",2011-01-21,66321,327275,524998,231932,793041,200030
"387",2011-01-22,66329,327316,525062,231961,793139,200055
"388",2011-01-23,66337,327356,525127,231989,793237,200080
"389",2011-01-24,66345,327396,525192,232018,793335,200105
"390",2011-01-25,66354,327437,525257,232047,793433,200129
"391",2011-01-26,66362,327477,525322,232075,793531,200154
"392",2011-01-27,66370,327518,525386,232104,793629,200179
"393",2011-01-28,66378,327558,525451,232132,793727,200203
"394",2011-01-29,66386,327598,525516,232161,793824,200228
"395",2011-01-30,66395,327639,525581,232190,793922,200253
"396",2011-01-31,66403,327679,525646,232218,794020,200277
"397",2011-02-01,66411,327720,525710,232247,794118,200302
"398",2011-02-02,66419,327760,525775,232276,794216,200327
"399",2011-02-03,66427,327800,525840,232304,794314,200351
"400",2011-02-04,66435,327841,525905,232333,794412,200376
"401",2011-02-05,66444,327881,525970,232361,794510,200401
"402",2011-02-06,66452,327921,526034,232390,794607,200425
"403",2011-02-07,66460,327962,526099,232419,794705,200450
"404",2011-02-08,66468,328002,526164,232447,794803,200475
"405",2011-02-09,66476,328043,526229,232476,794901,200500
"406",2011-02-10,66485,328083,526294,232505,794999,200524
"407",2011-02-11,66493,328123,526358,232533,795097,200549
"408",2011-02-12,66501,328164,526423,232562,795195,200574
"409",2011-02-13,66509,328204,526488,232590,795293,200598
"410",2011-02-14,66517,328245,526553,232619,795390,200623
"411",2011-02-15,66525,328285,526618,232648,795488,200648
"412",2011-02-16,66534,328325,526682,232676,795586,200672
"413",2011-02-17,66542,328366,526747,232705,795684,200697
"414",2011-02-18,66550,328406,526812,232734,795782,200722
"415",2011-02-19,66558,328447,526877,232762,795880,200746
"416",2011-02-20,66566,328487,526942,232791,795978,200771
"417",2011-02-21,66575,328527,527006,232819,796076,200796
"418",2011-02-22,66583,328568,527071,232848,796173,200820
"419",2011-02-23,66591,328608,527136,232877,796271,200845
"420",2011-02-24,66599,328649,527201,232905,796369,200870
"421",2011-02-25,66607,328689,527265,232934,796467,200895
"422",2011-02-26,66615,328729,527330,232963,796565,200919
"423",2011-02-27,66624,328770,527395,232991,796663,200944
"424",2011-02-28,66632,328810,527460,233020,796761,200969
"425",2011-03-01,66640,328851,527525,233048,796859,200993
"426",2011-03-02,66648,328891,527589,233077,796956,201018
"427",2011-03-03,66656,328931,527654,233106,797054,201043
"428",2011-03-04,66665,328972,527719,233134,797152,201067
"429",2011-03-05,66673,329012,527784,233163,797250,201092
"430",2011-03-06,66681,329052,527849,233192,797348,201117
"431",2011-03-07,66689,329093,527913,233220,797446,201141
"432",2011-03-08,66697,329133,527978,233249,797544,201166
"433",2011-03-09,66705,329174,528043,233277,797642,201191
"434",2011-03-10,66714,329214,528108,233306,797739,201215
"435",2011-03-11,66722,329254,528173,233335,797837,201240
"436",2011-03-12,66730,329295,528237,233363,797935,201265
"437",2011-03-13,66738,329335,528302,233392,798033,201290
"438",2011-03-14,66746,329376,528367,233421,798131,201314
"439",2011-03-15,66755,329416,528432,233449,798229,201339
"440",2011-03-16,66763,329456,528497,233478,798327,201364
"441",2011-03-17,66771,329497,528561,233506,798425,201388
"442",2011-03-18,66779,329537,528626,233535,798523,201413
"443",2011-03-19,66787,329578,528691,233564,798620,201438
"444",2011-03-20,66796,329618,528756,233592,798718,201462
"445",2011-03-21,66804,329658,528821,233621,798816,201487
"446",2011-03-22,66812,329699,528885,233650,798914,201512
"447",2011-03-23,66820,329739,528950,233678,799012,201536
"448",2011-03-24,66828,329780,529015,233707,799110,201561
"449",2011-03-25,66836,329820,529080,233735,799208,201586
"450",2011-03-26,66845,329860,529145,233764,799306,201610
"451",2011-03-27,66853,329901,529209,233793,799403,201635
"452",2011-03-28,66861,329941,529274,233821,799501,201660
"453",2011-03-29,66869,329981,529339,233850,799599,201685
"454",2011-03-30,66877,330022,529404,233879,799697,201709
"455",2011-03-31,66886,330062,529469,233907,799795,201734
"456",2011-04-01,66894,330103,529533,233936,799893,201759
"457",2011-04-02,66902,330143,529598,233964,799991,201783
